Brand_id,Brand_name,Brand_description,Brand_url,Brand_image,Brand_isActive,Activefrom
"1","Atharv Healthcare","nothing","nothing","nothing","TRUE","1/1/2023 5:31:00 AM"
"2","Mahendra Labs Private Limited","nothing","nothing","nothing","TRUE","1/1/2023 5:31:00 AM"
"3","Auskincare Formulation Pvt Ltd","nothing","nothing","nothing","TRUE","1/1/2023 5:31:00 AM"
"4","Awakesoul Pharmaceutical Pvt Ltd","nothing","nothing","nothing","TRUE","1/1/2023 5:31:00 AM"
"5","Hindustan Syringes & Medical Devices Ltd","nothing","nothing","nothing","TRUE","1/1/2023 5:31:00 AM"
"6","Avel Life Sciences","nothing","nothing","nothing","TRUE","1/1/2023 5:31:00 AM"
"7","Srigan Anatto Care Pvt Ltd","nothing","nothing","nothing","TRUE","1/1/2023 5:31:00 AM"
"8","Medic Forge Healthcare Private Limited","nothing","nothing","nothing","TRUE","1/1/2023 5:31:00 AM"
"9","RR Life  Sciences Pvt Ltd","nothing","nothing","nothing","TRUE","1/1/2023 5:31:00 AM"
"10","Citizen Remedies Private Limited","nothing","nothing","nothing","TRUE","1/1/2023 5:31:00 AM"
"11","Blossom Pharmaceuticals Pvt Ltd","nothing","nothing","nothing","TRUE","1/1/2023 5:31:00 AM"
"12","V Care Pharma Pvt Ltd","nothing","nothing","nothing","TRUE","1/1/2023 5:31:00 AM"
"13","RMPL Pharma LLP","nothing","nothing","nothing","TRUE","1/1/2023 5:31:00 AM"
"14","Sesderma India Pvt Ltd","nothing","nothing","nothing","TRUE","1/1/2023 5:31:00 AM"
"15","Pharma Biological","nothing","nothing","nothing","TRUE","1/1/2023 5:31:00 AM"
"16","Cynosure  Life Care","nothing","nothing","nothing","TRUE","1/1/2023 5:31:00 AM"
"17","Puneet Laboratories Pvt Ltd","nothing","nothing","nothing","TRUE","1/1/2023 5:31:00 AM"
"18","Serene Medicos","nothing","nothing","nothing","TRUE","1/1/2023 5:31:00 AM"
"19","Maximon Pharma Pvt Ltd","nothing","nothing","nothing","TRUE","1/1/2023 5:31:00 AM"
"20","Rianel Pharmaceuticals","nothing","nothing","nothing","TRUE","1/1/2023 5:31:00 AM"
"21","Arbit Pharmaceutical","nothing","nothing","nothing","TRUE","1/1/2023 5:31:00 AM"
"22","Glanz Health Care Pvt Ltd","nothing","nothing","nothing","TRUE","1/1/2023 5:31:00 AM"
"23","Addii Biotech Private Limited","nothing","nothing","nothing","TRUE","1/1/2023 5:31:00 AM"
